Activity,Type,Start,Distance,Time,Avg Speed,Max Speed,Elevation Gain,Avg HR,Max HR,Resting HR,Calories,Steps
Daily,Daily,"Sat, 20 May 2017 23:59",,,,,,,,54,2008,18027
Daily,Daily,"Fri, 19 May 2017 23:59",,,,,,,,52,1870,13264
Sworkit stronger baseline,Strength Training,"Fri, 19 May 2017 18:13",0.69,00:17:46,2.3,8.3,--,96,132,,70,
Morning - Rung 17,Other,"Fri, 19 May 2017 6:42",0,00:07:20,0,21.4,--,104,122,,35,
Daily,Daily,"Thu, 18 May 2017 23:59",,,,,,,,53,2252,12599
Morning - Rest Rung 17,Other,"Thu, 18 May 2017 7:05",0,00:02:44,0,6.4,--,115,132,,17,
Hannover Running,Running,"Thu, 18 May 2017 6:31",4.24,00:30:07,07:06,05:21,7,150,172,,273,
Daily,Daily,"Wed, 17 May 2017 23:59",,,,,,,,52,1951,3911
Flexibility Yoga,Yoga,"Wed, 17 May 2017 18:34",0,00:30:00,0,6.5,--,74,118,,60,
Hannover Cycling,Cycling,"Wed, 17 May 2017 16:34",5.01,00:19:49,15.2,24.9,10,111,135,,103,
Hannover Cycling,Cycling,"Wed, 17 May 2017 15:44",6.05,00:24:18,14.9,28.1,26,108,146,,119,
Morning - Rung 17,Other,"Wed, 17 May 2017 7:58",0,00:06:49,0,23.2,--,110,139,,38,
Daily,Daily,"Tue, 16 May 2017 23:59",,,,,,,,51,2075,7659
Sworkit arms & abs,Strength Training,"Tue, 16 May 2017 18:47",0.89,00:17:15,3.1,24.7,--,108,137,,88,
Hannover Cycling,Cycling,"Tue, 16 May 2017 18:07",3.22,00:11:25,16.9,22.1,8,117,136,,72,
Morning - Rung 17,Other,"Tue, 16 May 2017 6:21",0,00:07:08,0,23,--,111,135,,40,
Daily,Daily,"Mon, 15 May 2017 23:59",,,,,,,,52,1653,9273
Morning - Rest Rung 17,Other,"Mon, 15 May 2017 7:03",0,00:02:54,0,6.1,--,111,129,,16,
Hannover Running,Running,"Mon, 15 May 2017 6:30",4.25,00:29:50,07:02,05:13,5,153,174,,287,
Daily,Daily,"Sun, 14 May 2017 23:59",,,,,,,,52,2132,3248
Hannover Cycling,Cycling,"Sun, 14 May 2017 19:34",3.17,00:11:28,16.6,28.4,10,123,139,,79,
Hannover Cycling,Cycling,"Sun, 14 May 2017 18:16",4.06,00:15:56,15.3,22.3,16,116,149,,100,
