Activity,Type,Start,Distance,Time,Avg Speed,Max Speed,Elevation Gain,Avg HR,Max HR,Resting HR,Calories,Steps
Daily,Daily,"Sat, 27 May 2017 8:44",,,,,,,,51,2514,5137
Hannover Cycling,Cycling,"Sat, 27 May 2017 18:27",3.5,00:13:40,15.4,25,8,114,144,,79,
Hannover Cycling,Cycling,"Sat, 27 May 2017 17:32",3.01,00:11:50,15.2,40.1,24,123,151,,81,
Hannover Cycling,Cycling,"Sat, 27 May 2017 15:45",4.65,00:17:07,16.3,22.1,9,125,145,,119,
Hannover Cycling,Cycling,"Sat, 27 May 2017 14:19",7.64,00:29:38,15.5,50.6,11,117,142,,168,
Hannover Cycling,Cycling,"Sat, 27 May 2017 11:49",1.35,00:04:58,16.3,22.6,2,118,129,,32,
Hannover Cycling,Cycling,"Sat, 27 May 2017 11:18",6.19,00:23:48,15.6,28.2,13,114,129,,132,
Morning - Rung 17,Other,"Sat, 27 May 2017 9:07",0,00:06:45,0,24.6,--,107,133,,35,
Daily,Daily,"Fri, 26 May 2017 8:44",,,,,,,,52,1991,7878
Morning - Rung 17,Other,"Fri, 26 May 2017 8:44",0,00:06:56,0,22.9,--,98,131,,30,
Daily,Daily,"Thu, 25 May 2017 11:05",,,,,,,,52,2113,9073
Stretching Yoga,Yoga,"Thu, 25 May 2017 11:05",0.06,00:15:01,0.2,6.1,--,88,111,,47,
Hannover Running,Running,"Thu, 25 May 2017 10:31",4.25,00:29:40,06:59,02:58,6,159,172,,287,
Morning - Rung 17,Other,"Thu, 25 May 2017 7:31",0,00:06:43,0,26.2,--,111,145,,38,
Daily,Daily,"Wed, 24 May 2017 23:59",,,,,,,,54,2125,4049
Hannover Cycling,Cycling,"Wed, 24 May 2017 12:48",4.95,00:16:18,18.2,37.2,6,134,159,,131,
Hannover Cycling,Cycling,"Wed, 24 May 2017 12:17",2.24,00:07:32,17.8,20.1,3,128,145,,57,
Morning - Rung 17,Other,"Wed, 24 May 2017 8:42",0,00:06:52,0,24.2,--,102,128,,33,
Daily,Daily,"Tue, 23 May 2017 23:59",,,,,,,,56,1850,5197
Flexibility Yoga,Yoga,"Tue, 23 May 2017 17:18",0,00:30:01,0,5.5,--,85,105,,82,
Sworkit cardio & stronger baseline,Strength Training,"Tue, 23 May 2017 16:53",1.17,00:23:25,3,24.6,--,102,139,,100,
Morning - Rung 17,Other,"Tue, 23 May 2017 7:55",0,00:07:06,0,27.2,--,111,139,,40,
Daily,Daily,"Mon, 22 May 2017 23:59",,,,,,,,54,2045,5375
Hannover Cycling,Cycling,"Mon, 22 May 2017 14:42",8.33,00:33:19,15,30.3,32,107,130,,159,
Hannover Cycling,Cycling,"Mon, 22 May 2017 10:24",6.18,00:23:34,15.7,27.2,16,109,139,,118,
Morning - Rung 17,Other,"Mon, 22 May 2017 6:54",0,00:07:14,0,24.9,--,107,134,,37,
Daily,Daily,"Sun, 21 May 2017 23:59",,,,,,,,50,2148,11483
Stretching yoga,Yoga,"Sun, 21 May 2017 13:13",0,00:14:57,0,5.6,--,84,103,,41,
Hannover Running,Running,"Sun, 21 May 2017 12:38",4.15,00:29:35,07:08,05:18,4,150,173,,271,
